name,copper,fiber,zinc,vitamin b12,niacin,choline,energy,fat,carbohydrate,vitamin a,vitamin e,vitamin d,vitamin k,protein,phosphorus,"sugars, added",vitamin c,sodium,selenium,thiamin,manganese,folate,omega 6,calcium,riboflavin,vitamin b6,magnesium,iron,cholesterol,phytosterols,pantothenic acid,fluoride,potassium,fatty acids,omega 3
"Crustaceans, shrimp, raw (not previously frozen)",0.00391,0.0,0.0134,0.0,0.0,0.0,0.85,0.0051,0.0,0.0,0.0,0.0,0.0,0.201,2.14,0.0,0.0,1.19,0.0,0.0,0.00033,0.0,0.00032,0.64,0.0,0.0,0.35,0.0052,1.61,0.0,0.0,0.0,2.64,0.00105,2e-05
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",0.00656,0.122,0.0276,0.0,0.01541,0.993,3.78,0.0604,0.6295,0.03,0.0082,0.0,0.09,0.2047,2.52,0.107,0.04,0.24,0.0,0.00477,0.21306,5.57,0.02629,0.57,0.00212,0.00535,0.79,0.0431,0.0,0.0,0.01588,0.0,7.18,0.00603,0.0
"Lentils, raw",0.00754,0.107,0.0327,0.0,0.02605,0.964,3.52,0.0106,0.6335,0.02,0.0049,0.0,0.05,0.2463,2.81,0.0203,0.045,0.06,0.001,0.00873,0.01393,4.79,0.00414,0.35,0.00211,0.0054,0.47,0.0651,0.0,0.0,0.0214,0.0,6.77,0.00154,0.0
"Peanuts, all types, raw",0.01144,0.085,0.0327,0.0,0.12066,0.525,5.67,0.4924,0.1613,0.0,0.0833,0.0,0.0,0.258,3.76,0.0472,0.0,0.18,0.072,0.0064,0.01934,2.4,0.15555,0.92,0.00135,0.00348,1.68,0.0458,0.0,0.0,0.01767,0.0,7.05,0.06279,0.0
"Lamb, domestic, loin, separable lean only, trimmed to 1/4"" fat, choice, raw",0.00128,0.0,0.0319,0.0221,0.0651,0.0,1.43,0.0594,0.0,0.0,0.0019,0.0,0.0,0.2088,1.9,0.0,0.0,0.68,0.236,0.0013,0.00024,0.24,0.0041,0.12,0.0023,0.0017,0.27,0.0191,0.66,0.0,0.0066,0.0,2.76,0.0213,0.0
"Cocoa, dry powder, unsweetened",0.03788,0.37,0.0681,0.0,0.02185,0.12,2.28,0.137,0.579,0.0,0.001,0.0,0.025,0.196,7.34,0.0175,0.0,0.21,0.143,0.00078,0.03837,0.32,0.0044,1.28,0.00241,0.00118,4.99,0.1386,0.0,0.0,0.00254,0.0,15.24,0.0807,0.0
Honey,0.00036,0.002,0.0022,0.0,0.00121,0.022,3.04,0.0,0.824,0.0,0.0,0.0,0.0,0.003,0.04,0.8212,0.005,0.04,0.008,0.0,0.0008,0.02,0.0,0.06,0.00038,0.00024,0.02,0.0042,0.0,0.0,0.00068,0.07,0.52,0.0,0.0
"Corn flour, whole-grain, yellow",0.0023,0.073,0.0173,0.0,0.019,0.216,3.61,0.0386,0.7685,0.11,0.0042,0.0,0.003,0.0693,2.72,0.0064,0.0,0.05,0.154,0.00246,0.0046,0.25,0.01706,0.07,0.0008,0.0037,0.93,0.0238,0.0,0.0,0.00658,0.0,3.15,0.00543,0.0
"Quinoa, uncooked",0.0059,0.07,0.031,0.0,0.0152,0.702,3.68,0.0607,0.6416,0.01,0.0244,0.0,0.0,0.1412,4.57,0.0,0.0,0.05,0.085,0.0036,0.02033,1.84,0.02977,0.47,0.00318,0.00487,1.97,0.0457,0.0,0.0,0.00772,0.0,5.63,0.00706,0.0
Oats,0.00626,0.106,0.0397,0.0,0.00961,0.0,3.89,0.069,0.6627,0.0,0.0,0.0,0.0,0.1689,5.23,0.0,0.0,0.02,0.0,0.00763,0.04916,0.56,0.02424,0.54,0.00139,0.00119,1.77,0.0472,0.0,0.0,0.01349,0.0,4.29,0.01217,0.0
"Pasta, cooked, unenriched, without added salt",0.001,0.018,0.0051,0.0,0.004,0.064,1.58,0.0093,0.3086,0.0,0.0006,0.0,0.0,0.058,0.58,0.0056,0.0,0.01,0.264,0.0002,0.00322,0.07,0.00295,0.07,0.0002,0.00049,0.18,0.005,0.0,0.0,0.00112,0.0,0.44,0.00176,0.00024
"Rice, white, long-grain, regular, unenriched, cooked without salt",0.00069,0.004,0.0049,0.0,0.004,0.021,1.3,0.0028,0.2817,0.0,0.0004,0.0,0.0,0.0269,0.43,0.0005,0.0,0.01,0.075,0.0002,0.00472,0.03,0.00062,0.1,0.00013,0.00093,0.12,0.002,0.0,0.0,0.0039,0.0,0.35,0.00077,0.0
"Bread, multi-grain (includes whole-grain)",0.00282,0.074,0.017,0.0,0.04042,0.22,2.65,0.0423,0.4334,0.0,0.0037,0.0,0.014,0.1336,2.28,0.0639,0.001,3.81,0.329,0.00279,0.02025,0.75,0.01667,1.03,0.00131,0.00263,0.78,0.025,0.0,0.0,0.00336,0.0,2.3,0.00872,0.0
